section,model,auc,thr,sens,spec,acc,prec
2D,DenseNet121,0.8344,0.847467,81.66,78.95,80.89,90.77
2D,DenseNet169,0.7848,0.816519,85.47,60.53,78.41,84.59
2D,LG-CAFN,0.874,0.690043,83.39,78.95,82.13,90.94
2D,ResNet101,0.7564,0.741963,83.39,57.02,75.93,83.1
2D,ResNet50,0.8411,0.578446,88.24,60.53,80.4,85.0
2D,SENet101,0.7258,0.884421,76.12,64.91,72.95,84.62
2D,SENet50,0.8025,0.307557,90.66,43.86,77.42,80.37
2D,VGG16,0.7346,0.613875,88.58,39.47,74.69,78.77
2D,VGG19,0.8004,0.998044,72.66,74.56,73.2,87.87
2D,ViT-6,0.8525,0.849793,83.39,79.82,82.38,91.29
2D,ViT-7,0.802,0.781414,82.01,68.42,78.16,86.81
3D,3DMobileNetV2,0.8215109573241062,0.9803748726844788,78.20069204152249,71.9298245614035,76.42679900744417,87.59689922480621
3D,3DMobileNet,0.832498634128574,0.9313249588012695,78.54671280276817,71.05263157894737,76.42679900744417,87.3076923076923
3D,3DResNeXt101,0.8027681660899655,0.9989485144615173,43.59861591695502,89.47368421052632,56.575682382134,91.30434782608695
3D,3DResNet101,0.7819006859709828,0.9958193302154541,73.01038062283737,70.17543859649122,72.20843672456576,86.12244897959184
3D,3DResNet50,0.8463546409275784,0.9777087569236755,64.01384083044984,89.47368421052632,71.21588089330024,93.90862944162437
3D,3DShuffleNetV2,0.8151975960662904,0.8525645136833191,81.66089965397923,67.54385964912281,77.66749379652606,86.44688644688645
3D,3DShuffleNet,0.7745098039215687,0.8165873289108276,74.39446366782006,65.78947368421053,71.96029776674938,84.64566929133859
