section,model,arch,batch_size,epoch_saved,epochs,in_ch,input_channels,input_h,input_w,loss,lr,lr_factor,n_keys,n_params_M,note,optimizer,path,patience,pos_embed,val_dice,weight_decay
2D Seg,FCN-50,fcn50,16,42,100,,3,224,224,BCEDiceLoss,0.01,0.1,,,,Adam,/data/lmy_tp/YS_tp/models/fcn50_20260302_070538/model_best.pth,10,,0.5928464404444499,0.0001
2D Seg,FCN-101,fcn101,16,44,100,,3,224,224,BCEDiceLoss,0.01,0.1,,,,Adam,/data/lmy_tp/YS_tp/models/fcn101_20260302_133002/model_best.pth,10,,0.5830755212637814,0.0001
2D Seg,DeepLabV3-50,deeplabv3_50,16,27,100,,3,224,224,BCEDiceLoss,0.01,0.1,,,,Adam,/data/lmy_tp/YS_tp/models/deeplabv3_50_20260301_014543/model_best.pth,10,,0.5725636472218506,0.0001
2D Seg,DeepLabV3-101,deeplabv3_101,16,29,100,,3,224,224,BCEDiceLoss,0.01,0.1,,,,Adam,/data/lmy_tp/YS_tp/models/deeplabv3_101_20260228_163605/model_best.pth,10,,0.5823531262670227,0.0001
2D Seg,Unet,unet,16,25,200,,3,224,224,BCEDiceLoss,0.0005,0.1,,,,Adam,/data/lmy_tp/YS_tp/models/unet_20260325_035255/model_best.pth,10,,0.6290571659938242,0.0001
2D Seg,Unet-VGG16,unet_vgg16,16,55,300,,3,224,224,BCEDiceLoss,0.01,0.1,,,,Adam,/data/lmy_tp/YS_tp/models/unet_vgg16_20260321_123507/model_best.pth,15,,0.6477414896180727,0.0001
2D Seg,UNeXt,unext,16,18,100,,3,224,224,BCEDiceLoss,0.01,0.1,,,,Adam,/data/lmy_tp/YS_tp/models/unext_20260301_043006/model_best.pth,10,,0.5923295757818037,0.0001
2D Cls,VGG16,,,,,9,,,,,,,32,134.3,bare state_dict — no serialised config,,Classification task/final_classification_results/checkpoints/vgg16_recheck_lr01/vgg16_img9Se_seed2026_lr01/vgg16_img9Se_best_auc0.9046.pth,,,,
2D Cls,ViT-6,,,,,9,,,,,,,82,44.9,bare state_dict — no serialised config,,Classification task/final_classification_results/checkpoints/vit6_clean_lr001/vit-6_img9Se_best_auc0.8804.pth,,"(1, 37, 768)",,
2D Cls,ViT-7,,,,,9,,,,,,,94,52.0,bare state_dict — no serialised config,,Classification task/final_classification_results/checkpoints/current_tested_old_checkpoints/vit-7_img9Se_best_auc0.7554.pth,,"(1, 37, 768)",,
2D Cls,LG-CAFN,,,,,9,,,,,,,424,62.0,bare state_dict — no serialised config,,Classification task/final_classification_results/checkpoints/fusionM96_recheck_p10/fusionM96_img9Se_seed42_lr001_p10/fusionM_img9Se_best_auc0.8835.pth,,"(1, 197, 768)",,
